profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9
,control,control,control,control,treatment,treatment,treatment,treatment
JTB,12.3889,12.2733,12.334,12.2805,12.3067,12.3586,12.416,12.3785
KAT7,8.96562,8.96535,8.92944,8.91427,8.95741,9.07256,8.99432,9.01332
ZNF146,10.6543,10.7286,10.5828,10.7686,10.7161,10.6996,10.7293,10.6583
SART1,8.56426,8.66835,8.60178,8.65588,8.58088,8.81231,8.79235,8.60669
ILF2,11.1804,11.3009,11.2194,11.31,11.2304,11.3786,11.6265,11.3558
SPAG7,9.69887,9.71672,9.78561,9.60705,9.73172,9.79721,9.75641,9.8448
ZPR1,8.50837,8.56085,8.62744,8.68653,8.45146,8.63417,8.64304,8.6417
TAF10,9.47101,9.56956,9.60074,9.45043,9.41119,9.42422,9.47016,9.60676
C1D,8.65197,8.62552,8.27961,8.71471,8.59814,8.37049,8.70776,8.55888
NONO,12.1882,12.2282,12.2155,12.203,12.2571,12.1802,12.179,12.1902
LOC101929240,10.7338,10.785,10.715,10.7608,10.7884,10.795,10.8324,10.6272
RHOA,11.9449,12.0362,11.8484,12.0458,11.9814,11.8239,11.9046,11.9284
RNPS1,10.46,10.4874,10.4004,10.3825,10.3946,10.2669,10.3781,10.3586
RPS24,13.9914,14.0175,13.9863,14.0122,14.0615,13.9197,14.0457,14.0626
RPL30,13.9733,13.9831,13.9119,13.9838,14.0295,13.9355,13.9625,14.0171
NPM1,13.4249,13.5186,13.4079,13.4723,13.4618,13.4634,13.5161,13.4713
HSP90AB1,13.0093,13.1662,13.0895,13.2023,12.9889,13.171,13.1512,13.0846
MIR3620,12.2345,12.3284,12.0869,12.2428,12.2685,12.3573,12.4537,12.2987
IK,10.1142,10.1118,10.0446,9.99292,10.1669,10.2612,10.3395,10.1181
SNX3,10.9157,10.934,10.9612,11.0524,10.835,10.9284,10.9857,11.1025
CANX,12.3704,12.4973,12.4415,12.4808,12.581,12.5902,12.6308,12.5491
SART3,8.72116,8.5659,8.45265,8.77357,8.90645,8.91073,9.09025,8.7848
CNPPD1,8.54318,8.71736,8.449,8.59914,8.46241,8.57781,8.65509,8.58996
SMNDC1,9.73107,9.8315,9.68151,9.97312,9.88646,9.91334,10.3293,9.9482
HNRNPM,10.9329,11.0073,10.8267,10.9142,10.6221,10.495,10.4273,10.569
HNRNPD,10.8119,10.9124,10.651,10.7791,10.5364,10.4418,10.2844,10.4453
RPL14,12.5813,12.648,12.5324,12.6005,12.5929,12.5531,12.6447,12.6626
GUK1,10.3975,10.4748,10.429,10.4095,10.2962,10.1596,10.3281,10.3264
KXD1,9.31731,9.38815,9.38471,9.19873,9.2883,9.30533,9.44796,9.30663
OAZ1,13.153,13.253,13.1705,13.2436,13.0737,13.0784,13.1977,13.1478
ATP6V0B,10.6958,10.7345,10.7339,10.7641,10.7951,10.757,10.9551,10.8538
KARS,11.6299,11.7487,11.7601,11.7748,11.6504,11.6919,11.7732,11.774
H3F3AP4,12.8872,12.7561,12.6006,12.7548,12.77,12.5194,12.6269,12.6649
RPS6,13.5118,13.5318,13.5304,13.5347,13.5219,13.4978,13.5531,13.5623
RPS7,13.3905,13.5418,13.4863,13.5173,13.4686,13.3814,13.5117,13.5347
USP22,9.65148,9.6561,9.57594,9.59669,9.51209,9.24566,9.29289,9.33925
C11orf58,11.0182,11.1305,10.9652,11.1545,11.028,10.996,11.1941,11.0607
TCEB2,12.2436,12.1914,12.3212,12.1003,12.1215,12.0546,12.0893,12.2156
COX4I1,12.1707,12.142,12.1057,12.0694,12.1263,11.9097,12.1415,12.1446
TMED2,12.2594,12.3075,12.1088,12.3307,12.3559,12.3092,12.4999,12.2823
NBEAL1,13.9918,14.0027,14.0347,14.0064,14.0185,14.0479,14.0671,14.0566
SNORD18C,13.0686,13.172,13.0038,13.2393,13.1586,13.1776,13.2494,13.1427
FNTA,8.34418,8.29994,8.23394,8.47559,8.71501,8.83804,8.91468,8.60764
RPS25,13.2975,13.3107,13.1095,13.3376,13.3117,13.1163,13.3584,13.2469
RPL37,13.6575,13.7092,13.581,13.7136,13.6883,13.6195,13.6984,13.6958
HINT1,11.6049,11.4529,11.5102,11.407,11.5032,11.4418,11.2657,11.5343
EEF2,12.6842,12.7817,12.6798,12.7241,12.688,12.7058,12.7931,12.7769
RPS10,14.07,13.9807,14.0489,13.9266,13.9557,13.9683,13.9262,14.0091
ATP6V0E1,12.8261,12.7669,12.7366,12.8506,12.724,12.4611,12.5824,12.7208
HNRNPK,10.8929,10.9567,10.7739,10.8812,10.8346,10.6233,10.8159,10.7089
ANAPC5,11.558,11.5906,11.5333,11.5645,11.3915,11.4909,11.4343,11.4751
SNORD73A,13.6933,13.8791,13.7519,13.8828,13.7911,13.6642,13.8837,13.8365
HNRNPU,10.9602,11.0835,10.892,11.0002,10.9029,10.7646,10.8297,10.7643
HNRNPU,11.9253,11.9542,11.8758,11.9703,11.9331,11.8968,11.8552,11.8389
EIF3A,10.4542,10.5805,10.3786,10.6988,10.7477,10.6016,10.9664,10.7781
EIF3A,10.4932,10.5828,10.4177,10.5218,10.6929,10.7018,10.6423,10.377
EIF3A,8.09993,8.15063,8.06871,8.12071,8.22326,8.18145,8.36744,8.10534
MIR3652,10.2172,10.4579,10.0326,10.2259,10.8905,11.2691,11.2384,10.6503
MIR3652,11.6599,11.8122,11.5205,11.737,12.0901,12.3291,12.4458,12.0165
MSN,3.81405,3.73163,3.92382,3.78812,3.92233,4.08349,3.84326,3.94001
ACTN4,8.69034,8.60475,8.71582,8.56446,8.70357,8.51283,8.57733,8.60114
APP,8.49976,8.38712,8.32688,8.46218,8.59819,7.95675,8.58404,8.41595
PRKAR1A,11.7886,11.6978,11.6356,11.7528,11.7569,11.6473,11.786,11.7036
PRKAR1A,11.0901,11.1255,11.0937,11.2927,11.2474,11.3272,11.1445,11.1404
PRKAR1A,12.1456,12.1755,11.8503,12.1605,12.259,12.0658,12.1449,12.0936
DSP,11.4324,11.3063,11.2335,11.326,11.7699,11.3275,11.3302,11.197
RAD21,10.4268,10.5465,10.2851,10.3454,10.6191,10.418,10.3312,10.2411
RAD21,10.7801,10.8848,10.5363,10.8576,10.8885,10.6659,10.9032,10.8316
WDR1,10.7845,10.8637,10.8791,10.8876,10.6032,10.5072,10.6495,10.7628
NCL,11.2174,11.3235,11.1835,11.3382,11.1937,10.9284,11.1665,11.1698
WDR1,9.99992,10.1185,10.2116,10.1911,9.76453,10.0423,10.018,10.0851
AP2B1,7.59361,7.61846,7.94513,7.65555,7.83648,7.86092,7.8278,7.76869
AP2M1,10.9577,11.0494,11.1206,11.0833,10.8905,10.9262,10.9244,10.9497
CLTC,13.5996,13.6372,13.5661,13.6565,13.6681,13.5892,13.737,13.6045
AP2B1,8.4206,8.65514,8.62075,8.66125,8.70727,9.0095,9.02262,8.90082
MLEC,10.1855,10.146,10.1539,10.1862,10.2438,10.2227,10.3531,10.3452
MLEC,9.75818,9.78973,9.70632,9.80645,9.8243,9.72891,9.85647,9.89717
LASP1,9.79904,9.85551,9.57221,9.76106,9.78171,9.46919,9.62064,9.7391
SF3B2,10.2449,10.3559,10.3672,10.3026,10.3539,10.5407,10.4484,10.3602
TMEM59,11.7104,11.6532,11.5753,11.5531,11.9022,11.5401,11.6122,11.4758
CSRP1,10.4565,10.4578,10.54,10.4804,10.2367,10.4263,10.3883,10.3492
CALM3,9.5084,9.44963,9.44134,9.38016,9.45328,9.33855,9.35308,9.32903
CALM3,8.26096,8.34075,8.54082,8.23667,8.20938,8.0982,8.13767,8.10432
SNHG4,10.9915,11.1314,10.8284,11.0467,11.0039,10.8479,10.9026,10.846
CAP1,10.9463,11.0531,11.0164,11.0059,10.8269,10.8341,10.9813,10.9912
SNHG4,11.2068,11.3272,11.1566,11.3587,11.2937,11.063,11.2417,11.0941
PTGES3,12.9504,13.0892,12.9536,13.0521,12.9287,12.771,12.9513,12.892
WARS,8.81318,8.94773,8.96577,8.99007,9.3326,9.89392,10.2093,9.68558
WARS,9.94471,10.0472,10.1765,10.1629,10.2962,10.9663,11.0899,10.7729
SETSIP,11.4394,11.4494,11.3694,11.4767,11.4345,11.4412,11.4227,11.3834
SETSIP,12.0224,12.0527,11.9958,11.9708,11.818,11.8064,11.6846,11.8104
NDRG1,8.7688,8.13137,7.87975,7.73163,9.38429,8.19647,7.79765,7.73381
UBB,13.7119,13.7494,13.6763,13.7176,13.7162,13.6945,13.7582,13.7613
PFN1,12.5012,12.6828,12.636,12.6765,12.4829,12.5093,12.7524,12.7225
PTPRF,9.05657,8.96077,8.94295,8.94323,9.14688,8.81365,8.49136,8.67366
PTPRF,10.0634,10.0924,10.062,9.96304,10.2041,9.6447,9.58204,9.78269
PTPRF,8.15509,8.28253,8.20242,8.23563,8.25667,7.8533,7.81116,7.93256
YWHAZ,12.3864,12.5545,12.3382,12.5933,12.3737,12.3192,12.4307,12.3703
YWHAZ,12.5913,12.7401,12.4814,12.771,12.5768,12.3678,12.5754,12.5757
YWHAZ,12.7022,12.8303,12.731,12.7503,12.6864,12.5361,12.5643,12.58
YWHAZ,12.0381,12.1758,12.0361,12.1492,11.9892,11.9296,11.9048,11.8952
SOD1,12.8547,12.7729,12.7686,12.7337,12.7465,12.6146,12.6436,12.6773
HDLBP,9.64234,9.88085,9.75249,9.80341,10.0468,10.2413,10.3318,10.1168
MARCKSL1,10.976,10.8532,11.0905,11.0282,10.6795,10.0332,10.1651,10.7426
GABARAP,11.5006,11.3786,11.4729,11.2959,11.5554,11.5465,11.5738,11.4782
NUCB1,7.14336,7.43237,6.99735,7.0693,7.36373,7.33469,7.39424,6.8766
EIF3CL,12.3461,12.3626,12.537,12.3054,12.306,12.6077,12.5253,12.4423
GLUL,8.0946,8.04714,7.94579,8.13625,8.26541,7.34324,7.6328,7.65133
NUCB1,8.13629,8.03274,8.08988,7.99053,8.40153,8.17296,8.27465,8.00067
LDHA,13.1494,12.8868,12.8654,12.8142,13.1234,12.6395,12.5168,12.5582
SNORD96A,13.8744,13.9451,13.8721,13.9446,13.9357,13.9267,13.9449,13.9246
SSR2,11.2301,11.2274,11.295,11.2576,11.517,11.6222,11.7855,11.6501
CALM3,12.5871,12.7843,12.5087,12.6673,12.3919,12.1809,12.3848,12.4393
P4HB,11.7854,11.7379,11.6942,11.6485,11.971,12.0964,11.9984,11.9522
CALM3,12.1641,12.156,12.0513,12.2361,11.9198,11.7584,11.8936,11.9695
P4HB,11.1504,11.2164,11.02,11.2304,11.4406,11.6888,11.6884,11.4264
SLC25A5,13.1991,13.3002,13.2276,13.25,13.1443,13.1633,13.1509,13.1694
PHB,11.5784,11.8135,11.6723,11.7743,11.3589,11.2328,11.5196,11.5424
PHB,9.61121,9.61751,9.78288,9.66928,9.30856,9.05983,9.14372,9.41299
S100A11,11.4406,11.4922,11.5127,11.4475,11.4919,11.4694,11.5808,11.5737
CTSA,9.47086,9.38976,9.40251,9.24535,9.56493,9.46628,9.3796,9.39424
TOMM20,11.2608,11.3433,11.0691,11.2049,11.4175,11.1811,11.2795,11.1486
CD63,12.5282,12.522,12.5291,12.4862,12.5653,12.4215,12.4428,12.486
DNAJB1,9.59393,9.77245,9.72112,9.78485,9.4862,9.58392,9.71744,9.65121
SPARC,3.55379,3.47882,3.28141,3.33445,3.13594,3.09164,3.3271,3.54656
DNAJB1,10.3965,10.6006,10.6335,10.6611,10.3813,10.274,10.4706,10.524
UBE2D3,10.1159,10.1965,9.98366,10.2346,10.144,9.75823,10.182,10.057
UBE2D3,11.6186,11.7315,11.639,11.8173,11.7612,11.733,11.9366,11.853
UBE2D3,10.5298,10.6574,10.573,10.7146,10.6425,10.7889,10.9308,10.7348
XBP1,12.3892,12.299,12.1976,12.2981,12.3818,12.154,12.1888,12.2827
SPTBN1,6.37408,6.4068,6.25116,6.49963,6.51679,6.44386,6.41131,6.491
SPTBN1,7.16743,7.49877,7.41257,7.31844,7.51658,7.28435,7.35213,7.29431
LAPTM4A,12.3955,12.241,12.3447,12.3726,12.462,12.3498,12.432,12.3686
RPL32,14.1812,14.1536,14.1758,14.14,14.1624,14.1172,14.2024,14.2435
CD81,9.70925,9.7871,9.73229,9.84622,9.64779,9.4228,9.54692,9.66224
UBE2L3,6.10598,5.98062,6.44641,6.26943,5.8397,5.67551,5.62292,5.76181
PTTG1IP,11.1667,11.1459,10.9759,11.0694,11.2968,11.0982,11.1234,11.1072
GRN,9.33828,9.14819,9.37621,9.06627,9.44183,9.23702,9.08113,9.12208
HMGB1,12.5175,12.7281,12.4858,12.5481,12.4803,12.2877,12.2275,12.3103
HMGB1,13.5445,13.5604,13.4892,13.4911,13.3812,13.3751,13.2846,13.3224
GLO1,12.1427,12.1481,12.1662,12.1892,12.2119,12.0816,12.0091,12.1488
UBE2L3,11.4364,11.5496,11.3217,11.4449,11.3234,11.2157,11.2069,11.4022
UBE2L3,9.18703,9.21412,9.19699,9.19231,9.08451,8.82522,8.94582,9.01476
UBE2L3,7.72263,7.8356,7.70212,7.92058,7.6404,7.24328,7.52966,7.5706
SRSF11,4.72838,4.77845,4.47512,4.86103,4.58095,3.99389,4.28321,4.39282
SRSF11,10.135,10.2548,9.99643,10.2847,10.2905,10.2431,10.5524,10.2435
SF3B3,10.5108,10.5911,10.5207,10.4475,10.5602,10.3031,10.3052,10.4607
SF3B3,7.60528,7.61681,7.62217,7.39974,7.4125,7.20701,6.99274,7.22948
MIR3654,13.7811,13.7704,13.7911,13.7701,13.7693,13.8084,13.8054,13.7747
HSPA9,7.53151,7.56409,7.3913,7.64896,7.44272,7.37359,7.94459,7.64489
HSPA9,11.8206,11.8841,11.7803,11.8932,11.9808,12.2303,12.3685,12.0823
HSPA9,11.0359,11.1233,10.8465,11.0826,11.2102,11.3682,11.5074,11.2446
YWHAQ,12.1296,12.2512,12.0344,12.2336,11.9665,11.8713,11.9394,11.9745
DDX24,10.3864,10.3668,10.3824,10.4991,10.3348,10.3858,10.5532,10.5133
PPP2R1A,9.90585,9.96517,10.1376,9.91117,9.85656,9.94607,9.78818,9.85027
GSN,9.21359,9.18434,9.27723,9.22798,9.18099,9.09037,9.08744,9.30553
HK1,10.6521,10.5425,10.5362,10.5067,10.5971,10.4701,10.3657,10.4998
KDELR2,10.063,10.195,10.0526,10.2282,10.4852,10.5892,10.7116,10.5238
KDELR2,9.39333,9.54393,9.31007,9.53303,9.65563,9.57836,9.87032,9.77728
KDELR2,11.9185,11.9474,11.8281,11.909,12.0517,12.2038,12.2006,12.1175
NPC2,10.2988,10.1109,10.2731,10.1428,10.1617,10.106,10.1265,10.157
DDX24,8.62698,8.64219,8.54945,8.5852,8.64401,8.5574,8.55619,8.64871
DYNLL1,11.9302,11.8358,11.835,11.9413,11.6242,11.4322,11.5895,11.7593
LITAF,10.7942,10.849,10.7585,10.7274,10.6736,10.4376,10.569,10.7841
SNORA41,13.2135,13.2163,13.2327,13.2918,13.1512,13.2092,13.3001,13.2903
LITAF,9.89131,9.74186,9.73323,9.6932,9.79598,9.68631,9.61113,9.63957
PRKCSH,9.12457,9.18534,9.13254,9.05144,8.9971,9.08613,9.02546,8.78102
GOT2,10.4791,10.4684,10.6368,10.4326,10.2788,10.3593,10.3515,10.4566
LOC101929368,9.81909,9.88231,9.94614,10.0202,9.73424,9.62086,10.0674,9.93893
ACADVL,9.74033,9.7525,9.79041,9.59656,9.88451,10.0879,9.91771,9.77839
SKP1,10.0227,10.0422,9.9867,10.0338,9.99042,9.71096,9.94394,9.93186
MAPRE1,9.0119,9.17455,8.92366,9.20083,9.04178,9.04691,9.1079,9.07024
MAPRE1,11.2739,11.3012,11.3603,11.3892,11.2311,11.261,11.2765,11.1604
OS9,10.7093,10.5796,10.6962,10.4253,10.7241,10.9417,10.7442,10.6478
SNORD32A,13.2969,13.2762,13.3809,13.3187,13.3504,13.4119,13.3151,13.4041
RPL13AP5,14.1171,14.1354,14.1689,14.1176,14.1173,14.166,14.1463,14.18
RPL7,13.8434,13.8763,13.8225,13.89,13.85,13.8114,13.896,13.8279
SKP1,12.8857,12.8848,12.8107,12.8565,12.8265,12.688,12.8508,12.84
SKP1,7.39551,7.46573,7.20919,7.37659,7.54765,7.13183,7.26772,7.07654
ACTR1A,9.17947,9.21865,9.28217,9.26616,9.08692,9.2734,9.18914,9.34766
ACTR1A,8.08962,8.22809,8.15329,8.23148,8.10446,7.88812,8.03857,8.10315
CAPRIN1,9.57736,9.70811,9.59659,9.76261,9.61642,9.66926,9.58641,9.60812
CAPRIN1,11.1236,11.2564,11.1707,11.2602,11.1773,11.0543,11.1415,11.0786
SNORA70,5.00115,5.12337,5.06885,5.07053,4.85219,5.3467,5.15038,5.02438
SNORA70,13.795,13.8953,13.8045,13.883,13.8708,13.866,13.9643,13.9081
PPP1CC,11.9757,11.6619,11.8804,12.0433,11.9984,11.8128,11.5514,11.9115
ACTR2,9.10634,9.1011,9.08503,9.13925,8.81715,9.05504,8.77017,8.85732
ACTR2,11.6825,11.7598,11.6195,11.8423,11.4637,11.3895,11.3529,11.3633
ACTR2,11.106,11.1501,10.8827,11.215,10.9125,10.6948,10.9406,10.7997
PTP4A1,11.0993,11.1583,10.9475,11.1938,11.2962,11.5005,11.6569,11.2976
PTP4A1,9.96097,10.1129,9.96629,10.0627,10.168,10.1228,10.3645,10.1393
PTP4A1,10.5511,10.668,10.3799,10.5654,10.4898,10.3965,10.4701,10.4493
PTP4A1,10.414,10.422,10.0963,10.5697,10.5256,10.4196,10.6566,10.5115
ARF3,9.96648,9.88621,10.242,10.0325,9.80458,10.008,9.98357,10.1421
NACA,13.1098,13.1055,13.0956,13.0536,13.115,13.1932,13.0913,13.0669
GPX1,3.59978,3.61439,3.58415,3.59978,3.65509,3.69684,3.62483,3.69307
PGK1,11.2579,10.8383,10.7413,10.7789,11.3829,10.6942,10.7073,10.595
PGK1,12.8458,12.6612,12.6112,12.6157,13.0866,12.6815,12.5631,12.5774
SUMO3,10.223,10.3681,10.3512,10.3169,10.0782,10.0371,9.91157,9.97446
SUMO3,11.8219,11.9166,11.7104,11.8428,11.695,11.4432,11.5406,11.6096
RPS27,13.6391,13.6541,13.6003,13.6274,13.6671,13.6063,13.6882,13.6952
TPP1,6.68847,6.36704,6.66783,6.65747,7.09632,6.77636,6.73765,6.60206
TPP1,8.67409,8.39084,8.64248,8.47697,8.82775,8.55024,8.57267,8.5818
GNB1,10.6288,10.7501,10.7214,10.6973,10.5826,10.6085,10.5931,10.6314
GNB1,10.8567,10.8229,10.7608,10.8727,10.778,10.712,10.5176,10.5349
GNB1,10.764,10.7904,10.8131,10.6882,10.6239,10.587,10.4309,10.5039
NUMA1,8.95142,8.97315,8.85675,8.67946,8.84129,8.81073,8.55937,8.77099
FTH1,14.049,14.0863,14.0208,14.0504,14.027,14.045,14.1651,14.0252
RAN,10.3481,10.4236,10.1926,10.5657,10.0583,9.60498,9.90445,10.0288
RAN,12.813,12.905,12.778,12.8449,12.6889,12.669,12.6685,12.7088
HNRNPC,11.5912,11.6742,11.4582,11.7104,11.8168,11.5631,11.8259,11.5659
CAPN1,7.82421,7.9405,7.98326,8.02776,7.75745,7.84308,7.81636,7.95648
MIR636,10.1207,10.3725,10.0321,10.3634,9.6696,9.32334,9.63803,9.74977
MIR636,11.3607,11.598,11.448,11.5018,10.9089,10.8712,10.5636,10.9319
CALU,9.23535,9.50247,9.45498,9.48202,9.99979,10.1786,10.4349,9.90524
CALU,8.63906,8.76016,8.80259,8.75905,9.14884,9.54413,9.59485,9.17812
CALU,9.97097,10.0359,9.8632,10.0332,10.4993,10.6826,10.8357,10.5533
NFE2L1,10.4775,10.3543,10.4914,10.3266,10.6732,10.9377,10.8364,10.6578
NFE2L1,10.6367,10.5486,10.6535,10.6381,10.8457,11.0954,11.0803,11.0023
ARL6IP5,10.1557,10.22,10.0672,10.2422,10.01,9.95902,9.99059,9.89755
ARL6IP5,10.9429,10.9343,10.9488,11.0421,10.7324,10.5982,10.7781,10.7918
DPYSL2,9.1885,9.23344,9.00791,9.24979,8.85001,8.40543,8.52714,8.77332
RPLP1,13.6506,13.6652,13.5955,13.6281,13.6955,13.5897,13.6592,13.7013
CTNNA1,9.95495,10.0548,9.96712,10.0031,10.0289,9.97524,10.085,9.86431
CTNNA1,10.8236,10.8796,10.83,10.8406,10.8863,10.7903,10.8334,10.7581
CTSD,9.59499,9.51796,9.59564,9.70033,9.33294,9.28015,9.41609,9.55732
FAM120A,7.44606,7.41969,7.54738,7.46578,7.50843,7.58679,7.32605,7.36749
MAT2A,10.2902,10.304,10.1455,10.2384,9.95357,9.52743,9.21696,9.56802
