profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9
,control,control,control,control,treatment,treatment,treatment,treatment
TNFRSF8,4.85562,4.78507,5.00642,4.79387,4.88059,5.17629,4.90085,4.71665
GRIA3,3.32493,3.24811,3.41926,3.17627,3.38572,3.2449,3.36261,3.42963
CNKSR2,3.15316,2.88233,3.36504,3.09137,2.90717,3.32679,3.04878,3.23914
SLITRK3,3.50868,3.44093,3.97657,3.26193,3.58328,3.4538,3.59782,3.65897
TULP2,3.73338,3.87957,4.11737,3.74636,3.91106,3.91415,3.94544,3.91618
JRKL,6.43578,6.44935,6.13402,6.62816,6.82533,6.44935,7.32533,6.73212
CHRNA4,5.13171,5.14676,5.07291,4.77504,5.18446,5.47908,5.0335,5.1027
CHRNA4,4.27007,4.07782,4.24962,3.95202,3.99067,4.31717,3.89991,4.02855
WNT11,5.68532,5.69421,5.94143,5.53351,5.64448,6.0233,5.52206,5.55116
APOC4-APOC2,5.52236,5.31056,5.3953,5.28783,5.13679,5.54959,5.28639,5.3567
HOXC5,5.9803,6.18469,6.01144,5.93129,5.70962,5.95998,5.77438,5.99114
SYCP1,3.62055,3.52954,3.67683,3.56629,3.31147,3.66523,3.54689,3.62966
SSUH2,4.3109,4.61032,4.45667,4.47901,4.54832,4.52819,4.51356,4.4473
PIR-FIGF,3.75823,4.02452,3.59452,3.57741,3.75785,3.66557,3.67785,3.78251
ASGR1,3.98245,4.01495,3.87824,3.71989,3.95079,3.9234,3.96887,4.15363
ZMYM5,5.28724,5.55848,5.27857,5.77918,6.1933,6.09157,6.98402,6.051
HOXC11,6.62865,6.51523,6.67793,6.55166,6.62842,6.57353,6.54337,6.59348
BFSP1,5.41261,5.47396,5.4217,5.50155,5.2644,5.07033,5.27306,5.46473
GPRIN2,5.66676,5.42583,5.7129,5.54974,5.51272,5.73559,5.44865,5.53997
SPAG9,7.6555,7.66347,7.56109,7.75171,8.07112,8.07297,8.38435,7.8616
CD1B,3.69052,3.64713,4.15286,3.74926,3.77421,4.0724,3.86409,3.85179
MAFK,5.44543,5.40283,5.45967,5.51486,5.27389,5.55002,5.41639,5.36013
PCYT1B,3.14906,3.27929,3.42817,3.18024,3.36169,3.37349,3.27501,3.25461
DFFB,5.43709,5.70563,5.48775,6.10281,5.7365,5.49719,5.73919,5.46246
RDH16,5.23864,5.17332,5.6246,5.06672,5.00642,5.45595,5.16519,5.34854
CYP2B7P,4.57289,4.75614,4.71133,4.47532,4.65125,4.5007,4.60677,4.44164
CYP2B6,4.00545,4.03629,3.83673,3.70238,3.83548,4.09081,3.81854,3.97951
CHST7,5.43942,5.35407,5.55766,5.42399,5.12433,5.47935,5.54431,5.66427
PDE5A,3.39824,3.58907,3.54514,3.67129,3.49658,3.42928,3.36261,3.2769
EDN2,5.46552,5.69073,5.60459,5.51523,5.60517,5.90666,5.72635,5.56008
FCER2,4.51898,4.35045,4.55844,4.63953,4.43847,4.2922,4.19202,4.41956
FCER2,4.71893,4.65618,4.91429,4.45494,4.67182,4.66355,4.68192,4.74749
CD96,3.52435,3.47942,3.4901,3.40255,3.47391,3.82234,3.56924,3.49409
KCNA5,4.85545,4.66758,4.99963,4.48881,4.35539,5.17624,4.6274,4.61915
FKBP6,5.10555,5.26057,5.43893,5.10136,5.53707,5.62727,5.13564,5.47315
MPPE1,7.43825,7.42604,7.43313,7.19326,7.22012,7.61952,7.18936,7.29663
KCNJ2,3.57915,3.41586,3.62743,3.76525,3.43587,3.45489,3.5643,3.32378
ITGA10,5.17668,5.06696,5.74828,5.3703,5.16754,4.89462,5.08217,5.04751
RBMS3,4.56571,4.70944,5.12935,4.81666,4.66425,4.9,4.88506,5.00393
RPL3L,5.50962,5.26549,5.77938,5.14768,5.24624,5.65941,5.31287,5.51872
TMSB4Y,6.09768,6.32051,6.06619,5.97104,6.11093,6.28263,6.14171,6.08896
SLC35A3,9.34618,9.64381,9.32877,9.7724,9.28736,9.20948,9.43379,9.45888
UPK3A,4.18498,4.15809,4.3596,4.22563,4.34273,4.26153,4.0605,4.04406
PTH2R,3.09653,3.14238,3.22819,3.0212,3.24784,3.24442,3.20324,3.21245
LY6H,3.7662,3.565,3.72772,3.80906,3.3213,3.49158,3.50414,3.57816
FRMPD1,4.34355,4.26781,4.232,4.0761,3.93788,4.39509,4.26142,4.04752
CUBN,4.57931,4.60369,4.67808,4.40103,4.15796,4.52068,4.50182,4.36741
ACRV1,4.24218,4.31883,4.52445,4.02829,3.99438,4.44687,4.26158,4.31608
CRYBB2P1,5.75289,5.61552,5.71812,5.87611,5.89203,5.7386,6.361,6.02414
CRYBB2,5.623,5.65312,5.68401,5.54471,5.46557,5.67331,5.60622,5.69555
ASMT,4.51526,4.42236,4.96068,4.25336,4.44173,5.05785,4.63898,4.5399
GAD2,3.9873,4.06383,4.70434,3.84139,4.09969,4.32233,4.03484,3.8887
DNAJC4,5.63377,5.39629,5.66564,5.39977,5.42654,5.80913,5.19024,5.59527
DNAJC4,6.88469,6.93652,6.75038,6.87424,7.0106,6.8804,7.0158,6.88115
FGF4,5.1592,4.97893,5.30479,5.14686,4.90587,5.3168,5.03411,5.06707
AQP8,4.12995,4.13134,4.34731,3.92021,3.93537,4.48376,4.00747,4.02583
KLRC2,3.00338,3.04471,3.38193,3.18868,3.13999,3.28963,3.51519,3.06272
HTN3,3.15087,3.07151,3.28037,3.13207,3.09294,3.29875,3.16895,3.27734
BRDT,2.97834,3.38436,3.39615,3.42701,3.13532,3.38272,3.30605,3.47773
CBFB,7.87806,8.13772,7.96682,8.16785,7.8189,7.82823,7.8808,7.70201
POU2F1,6.87654,6.7699,6.63267,6.78546,6.78342,6.61057,6.70528,6.76875
NDUFB1,12.773,12.7344,12.6881,12.6151,12.6244,12.3939,12.5014,12.6477
LOC729966,5.97689,6.02537,6.34585,5.95735,6.03064,6.16934,5.93049,6.04645
LOC729966,9.57898,9.68004,9.54398,9.47752,9.52856,9.64842,9.33289,9.39708
PNMT,5.17538,5.4398,5.63922,5.42262,5.30572,5.60854,5.40238,5.36376
ERBB4,4.03333,3.95863,3.78909,3.65357,4.00977,3.93098,3.6408,3.93181
F2RL2,3.57314,3.45269,3.49492,3.41117,3.38368,3.57047,3.53809,3.52491
WISP1,4.01689,3.72827,3.68433,3.67863,3.68624,3.87113,3.65512,3.84378
NAT2,4.13243,4.27476,4.41225,3.99247,3.95169,4.37273,4.17433,4.26703
DLEC1,6.20819,6.16837,6.55913,6.10291,6.18722,6.64824,6.15441,6.29969
SCGB1D2,3.20655,3.52275,3.63649,3.1896,3.56742,3.43413,3.47809,3.35929
MTHFR,5.32687,5.47401,5.50234,5.32509,5.30196,5.85452,5.45227,5.3522
NPPB,4.4638,4.5857,4.7244,4.3723,4.63058,4.96216,4.48952,4.51538
PAX5,5.32353,5.16466,5.38128,5.14964,4.94735,5.581,4.98796,5.17928
PDYN,4.02521,3.90035,3.9319,3.48058,3.62533,3.86837,3.80213,3.85495
CD3G,4.35911,4.27952,4.65845,4.09132,4.34273,4.82835,4.32516,4.3963
SEMA3A,4.21215,3.97932,4.29757,4.09457,3.78073,4.13009,4.26494,4.04775
DGKI,3.41245,3.62062,3.88298,3.41432,3.48432,3.51557,3.41432,3.50647
ADD2,5.96994,5.81049,5.9406,5.67368,5.88588,6.29886,5.81709,5.89803
HNRNPA3P1,3.23692,3.14914,3.35412,3.19103,3.23682,3.14592,3.17463,3.09784
HNRNPA3,8.35985,8.3119,8.36338,8.45582,8.21414,8.20886,8.0577,8.21104
LOC101060181,3.40748,3.48417,3.98496,3.61173,3.66739,3.55981,3.46832,3.74687
ADCY8,4.00433,3.52404,3.94062,4.0216,4.09969,4.05397,3.91234,4.2221
ADRB3,4.92782,4.75725,5.00869,4.51166,4.59892,5.17513,4.74113,4.81251
CTF1,5.89376,5.96556,6.19577,5.86844,5.68097,6.05534,5.95953,6.06816
NGF,5.52796,5.45319,5.57546,5.53015,5.43925,5.64255,5.50297,5.24185
SPAG8,4.03611,4.17864,4.1954,3.71989,4.20265,4.21266,3.96202,3.8268
SPAG8,5.33949,5.56192,5.52012,5.32234,5.37992,5.56216,5.52196,5.39154
CELF3,6.22626,6.22626,6.44607,5.9501,6.19879,6.32767,6.20476,6.23907
CNNM2,6.28057,6.20412,6.23191,6.19496,6.70007,6.92897,6.80776,6.72445
POM121L9P,3.71008,3.57126,4.08066,3.62392,3.7041,3.78646,3.66699,3.73867
AGFG2,4.7893,4.67217,5.05519,4.49379,4.76564,5.01359,4.8074,4.80136
AGFG2,5.67619,5.61357,5.76491,5.53466,5.64782,5.8988,5.66185,5.92608
L3MBTL1,3.65269,3.98251,3.75236,3.90473,3.77806,3.9291,3.63276,3.70952
L3MBTL1,4.29028,4.41536,4.73783,4.43672,4.31715,4.54707,4.42872,4.26356
CES1P1,5.52236,5.23419,5.26225,5.01305,5.08954,5.60912,5.2773,5.14017
OXTR,5.19627,5.15087,5.08605,5.0305,5.26401,4.83045,4.99271,4.96858
PMP2,3.05229,3.05068,3.09801,3.0584,3.2012,3.07922,3.10572,3.07922
TRPV6,5.20932,5.59652,5.31201,5.15915,5.48,5.57996,5.37153,5.48114
TXK,3.37597,3.38938,3.4114,3.4114,3.26409,3.41326,3.26223,3.3507
ZNF430,8.47808,8.60053,8.23882,8.67815,8.28737,8.32011,8.24605,8.24054
SLC4A10,3.09595,3.18312,2.99919,3.17576,3.00884,2.88492,3.23689,3.16218
ARSD,5.11808,5.29236,5.49001,5.28432,5.27432,5.47202,5.12589,4.97675
SEMA3F,4.42011,4.65618,4.92046,4.71924,4.57091,4.12412,4.52528,4.53026
LOC101927144,7.79973,7.96397,7.82641,7.98154,7.63938,7.49178,7.6457,7.7793
HBD,4.27573,4.20342,4.67627,4.28817,4.22994,4.64437,4.28295,4.25992
STATH,2.98275,3.36312,3.29721,3.19882,3.25838,3.31968,3.13533,3.23441
SLC6A3,5.60373,5.62589,5.70962,5.62939,5.52138,5.66413,5.62431,5.40212
ALX1,4.2311,4.62731,4.58431,4.25173,4.34273,4.72256,4.25009,4.56317
TBX19,5.49729,5.30909,5.58088,5.13839,5.35727,5.57647,5.31029,5.48432
C22orf31,4.7325,4.9111,4.90563,4.5337,4.58206,5.06474,4.90124,4.88192
AFM,3.40467,3.43309,3.33946,3.24579,3.17784,3.33004,3.00691,3.23793
PDE6H,3.25582,3.32841,3.46939,2.9969,2.97641,3.33004,3.22899,3.1317
KCND1,4.67247,4.70559,4.45159,4.49491,4.38263,4.55766,4.19159,4.15748
CRYBA4,4.02701,3.95528,4.26058,3.80415,3.8853,4.13171,3.99535,4.01737
FBP2,4.31103,4.40051,4.38547,4.14896,4.21938,4.9476,4.3254,4.18718
RNF40,8.25006,8.48248,8.47265,8.26942,8.0079,8.1496,8.27458,8.19886
HDAC6,7.20533,7.25596,7.26791,7.14543,7.41044,7.83271,7.67929,7.47552
HOXA7,4.78429,4.17615,4.55324,4.40645,4.52634,4.69719,4.47395,4.56679
COX20,8.03873,7.86348,7.71328,7.84326,8.22746,7.94217,7.70008,7.70036
GABRG2,3.65893,3.8856,3.81825,3.84711,3.83329,4.19041,3.86908,3.79543
RASL10A,4.34911,4.37378,4.48165,4.42684,4.4307,4.37984,4.24953,4.45086
RNASE3,5.30747,5.05077,5.39107,5.20708,5.15474,5.32866,4.9258,5.12315
EPHA7,3.32746,3.57858,3.67399,3.63326,3.54985,3.22031,3.49356,3.32378
MAP3K7,6.61233,6.66051,6.53949,6.96901,6.76286,6.1124,6.74225,6.59271
MAP3K7,8.82119,8.91855,8.87485,9.10092,9.06644,8.87313,9.09225,8.89174
HYAL2,7.22328,7.25448,7.21241,7.22287,7.18292,7.03169,7.115,7.23933
LILRB5,3.45006,3.52404,3.55716,3.33806,3.40857,3.47214,3.44799,3.57972
FKBP1B,4.84824,4.8664,4.84284,4.89793,4.33836,4.40626,4.45939,4.75845
HOXC6,8.47208,8.65667,8.41301,8.54025,8.18226,8.02928,8.00251,8.30433
PAEP,3.54357,3.34085,3.5737,3.47019,3.71179,4.04586,3.73662,3.46278
MIOS,8.52284,8.68784,8.65562,8.58702,8.69457,8.77357,8.83083,8.56776
CGGBP1,8.73979,8.90921,8.9863,8.78656,9.25438,9.68171,9.7124,9.29143
ZNF254,5.04992,5.39407,5.25116,5.21124,5.28904,5.34259,5.24143,5.2159
HRK,4.91857,4.86975,4.90941,4.98745,4.85487,4.95593,4.99904,4.76284
HRK,5.2986,5.51374,5.29724,5.48101,6.53466,7.11088,7.25506,6.31526
HRK,5.00563,5.18414,5.39416,5.05451,5.49055,6.2535,6.08135,5.6473
CDH4,4.40266,4.63173,4.57952,4.45951,4.53751,4.73547,4.4325,4.57969
GCKR,4.10179,4.11592,4.36585,3.93568,4.20671,4.57519,4.10047,4.24531
STARD8,6.09802,6.12556,6.13281,5.99572,6.16511,6.05143,5.88664,5.99248
CHAD,4.70454,4.78703,5.31386,4.88547,4.63336,4.93476,4.43792,4.56425
PPARA,4.25246,4.26312,4.44664,4.19369,4.19271,4.36139,4.09698,4.19076
ELANE,4.35403,4.26576,4.3474,4.29069,4.11741,4.66328,4.30831,4.35278
SLC17A1,4.50291,4.66859,5.19592,4.60024,4.55387,4.7499,4.72004,4.84399
CA6,4.81475,4.70559,4.9311,4.73066,4.67101,4.93161,4.66673,4.73559
SLK,5.56779,5.27697,5.35993,5.84313,5.46557,4.60018,5.21252,4.91348
SLK,8.59599,8.55551,8.08726,8.52262,8.72422,8.46844,8.88773,8.40148
SIM1,4.02932,3.91829,4.06338,3.72204,3.86411,4.11479,3.85903,4.04361
MXD1,4.8376,5.23278,5.38784,5.03466,5.26454,5.56769,5.48849,5.30282
DAO,4.44877,4.46726,5.03372,4.28406,4.39759,4.99674,4.25856,4.53887
NRG2,4.68217,4.71984,4.87186,4.55874,4.48687,4.77977,4.64137,4.6046
P2RX6,5.10609,5.02813,5.46765,4.92119,5.16647,5.61844,4.98281,5.20428
LILRA3,4.29978,4.28354,4.34295,4.31097,4.42243,4.45426,4.41116,4.29889
SLC1A6,5.76439,5.45088,5.92425,5.7437,5.69895,6.15037,5.62226,5.8449
GP9,5.32771,5.42414,5.66775,5.5232,5.23968,5.67978,5.34403,5.34665
SCEL,2.95662,2.93374,2.90728,2.9414,2.98414,3.00566,2.97606,2.95258
GH1,4.712,4.82644,5.35729,4.63748,4.94711,4.98736,4.74069,4.94733
GH1,4.40797,4.61801,4.76838,4.55442,4.36971,4.53177,4.61026,4.50429
ACKR2,4.7632,4.88158,5.21541,4.7712,4.67311,5.11305,4.87137,5.01554
ARHGDIG,5.58856,5.59116,5.73435,5.67202,5.4183,5.74236,5.48938,5.65499
PDIA2,5.99064,5.9372,6.19256,5.82548,5.68351,6.13936,5.97545,5.87386
IL12RB1,5.54074,5.27056,5.84035,5.53248,5.20296,5.73215,5.53917,5.46423
ACTN3,4.5881,4.68026,4.69228,4.57449,4.31832,4.61914,4.86687,4.58915
AMHR2,5.17354,5.38252,5.67526,5.02258,5.12962,5.42781,5.0951,5.31707
SALL1,2.96552,2.91806,2.89039,2.96552,2.86692,3.06623,2.905,2.92522
APOA4,5.50787,5.63851,5.59509,5.51577,5.70148,5.82418,5.40501,5.8068
PPP1R3A,3.12893,3.04659,3.49297,3.11465,3.16218,3.24935,2.97177,3.09393
GNG7,6.0637,6.01195,6.07362,5.93745,5.98556,6.02774,5.87223,5.83991
PAGE1,4.13888,4.11479,3.97136,3.85388,3.81168,3.81092,3.95239,3.89287
CDH19,3.05225,3.19371,3.19407,3.17813,3.18591,3.1822,3.17813,3.17813
NTSR2,4.10722,4.07673,4.5015,4.07605,4.0882,4.32607,3.92516,4.29987
ZNF253,7.21633,7.45202,7.13482,7.41116,7.31948,6.95955,7.19941,7.17734
C19orf57,6.32141,6.16556,6.34227,6.06287,6.04767,6.44578,6.14331,6.0618
EXOG,4.56457,4.92816,4.1487,4.48242,4.56234,4.71975,4.64005,4.55958
EXOG,4.85542,4.95886,5.01866,4.70126,4.80332,4.97076,4.7524,4.7803
MATN1,4.45027,4.21065,4.48686,4.22202,4.2952,4.47191,4.35815,4.25409
MATN1,5.05898,4.74652,4.8348,4.58917,4.61627,4.95517,4.55408,4.50645
ICAM5,4.9024,4.71526,4.9024,4.58418,4.84682,4.89481,4.71276,4.86595
TNFSF9,4.6234,4.49667,4.51893,4.49476,4.67531,4.19246,4.52908,4.76048
CLDN11,5.0553,5.14119,5.55639,5.36592,4.9727,5.65057,5.00783,5.27206
AF068863,3.15308,3.10801,3.00078,3.16649,3.20937,3.09167,2.97698,3.14673
CFHR2,3.43932,3.82032,3.41729,3.34478,3.47092,3.52108,3.4468,3.50068
TRIM25,7.25051,7.29365,7.37239,7.03424,7.11079,7.53455,7.33298,7.30468
FOXE1,3.32637,3.35991,3.53146,3.15901,3.1698,3.29405,3.14441,3.28717
BAAT,5.44427,5.18876,5.43047,5.13636,5.45105,5.42432,5.40471,5.3681
CRTAM,3.12601,3.04189,3.20883,3.20883,3.07855,3.27771,3.13139,3.18937
NKX2-2,3.20981,3.33061,3.40504,3.39959,3.2449,3.40977,3.16355,3.28118
TAT,4.87806,4.69563,4.74911,4.65802,4.69969,4.56753,4.74059,4.75456
GNA13,6.6054,6.8686,6.39652,7.00972,7.12764,7.07369,7.04647,6.73744
CPNE1,8.52039,8.55839,8.6455,8.63419,8.40524,8.34522,8.49736,8.41052
ELK4,4.58355,4.42617,4.24036,4.64261,5.17146,4.87938,5.44678,4.68248
GLE1,8.51464,8.55836,8.45748,8.52213,8.27005,8.37512,8.33001,8.25126
GLE1,5.67159,5.76294,5.11846,5.24972,5.39992,4.76579,5.41194,5.46828
VCY1B,5.22278,5.55812,5.83744,5.30558,5.55521,5.55927,5.42438,5.66361
PRKCA,4.08287,4.10715,4.14891,3.80194,4.06272,4.06059,4.05074,4.16705
IL11,3.88167,4.06787,4.33491,4.0951,3.87757,3.96657,3.92957,4.03489
ST8SIA4,7.08836,7.32295,7.03601,7.19252,7.23815,7.10329,6.77565,7.08844
IL11,6.04896,6.24567,6.4151,5.95801,6.02298,6.22436,5.92966,6.19313
GUCY1A2,5.09373,5.02894,5.01472,5.35269,4.77012,5.17513,4.9121,5.16841
ZNF124,7.5812,7.43554,7.43776,7.71081,7.30039,6.95681,7.01903,7.30468
NFIC,6.14202,6.42431,6.39479,6.19058,6.10364,6.01299,6.18087,6.35247
GLYAT,3.72384,3.56978,3.89687,3.54456,3.72358,3.71746,3.64897,3.69307
ZNF141,5.75106,5.89512,5.23504,5.89779,6.24272,6.21247,6.95243,6.1269
CH25H,3.45122,3.50331,3.65219,3.38263,3.38063,3.61594,3.42736,3.30781
H6PD,4.94248,4.91118,5.1384,4.73007,4.87452,5.00393,4.73109,5.05931
SIRPB1,4.00549,4.137,4.04818,4.15109,3.93687,4.13779,4.24324,4.09215
PCDH8,7.25633,7.29542,6.95446,7.48863,8.0582,8.16023,8.41395,7.93651
206936_x_at,6.79938,6.77973,6.69796,6.41163,6.51459,6.38928,6.4198,6.40155
SPTA1,3.49421,3.34153,3.38201,3.16683,3.26721,3.31432,3.40778,3.40475
SRD5A2,4.12935,3.90262,3.8924,3.69008,3.8582,4.0446,3.84745,3.82772
DCC,3.51446,3.3832,3.75755,3.39069,3.44262,3.76722,3.21544,3.40508
POU4F1,3.66307,3.77243,3.52549,3.54683,3.6607,3.76411,3.6928,3.65381
SEMA3E,3.23556,3.20102,3.54263,3.44792,3.1895,3.09167,3.04528,2.99717
PMCH,4.67358,5.15181,4.47992,5.3207,4.88777,4.89866,5.02587,4.48607
TGFBR1,4.44827,5.02346,4.74664,4.92276,4.69499,4.44482,4.41853,4.79781
HTR6,5.10896,5.00393,5.49382,4.8602,5.08605,5.26516,5.07019,5.24753
LCT,4.05286,3.86407,4.32476,4.01403,3.99612,4.12895,4.09298,4.14382
HCN4,3.79579,3.71471,3.91711,3.61511,3.6604,4.1457,3.75079,3.75414
B3GALT5,3.92661,3.98777,3.7512,3.81972,4.00854,3.82146,3.85332,4.01495
NEU3,4.21991,4.77074,4.3051,4.68866,4.61389,4.71498,4.65914,4.72374
RUSC1,9.46328,9.59557,9.6054,9.52694,9.16277,9.20385,9.09404,9.34999
SCN9A,3.2449,3.05225,3.02079,3.04073,3.06991,3.16761,3.0549,2.93755
HIST1H4E,6.25023,6.18909,6.06897,6.03362,6.14425,6.10515,6.10434,6.20155
G6PC,3.04085,3.08373,3.06364,3.02787,3.2262,3.06364,2.94158,3.047
ADGRL2,3.29075,3.63955,3.28466,3.52018,3.1209,3.33004,3.31767,3.19464
WT1-AS,4.15634,4.067,4.18751,3.98065,3.79755,4.34026,4.07806,4.06458
LOC101930168,5.4913,5.29689,5.67421,5.42578,5.31652,5.6004,5.57081,5.62023
PMF1-BGLAP,5.44458,5.4997,5.22828,5.37587,5.45537,5.50248,5.29515,5.25058
AGXT,3.46732,3.70211,3.88674,3.64043,3.74958,3.98087,3.87133,3.67138
UPF3A,7.7861,7.88347,7.59549,7.96499,8.02087,7.61278,7.94114,7.68951
UPF3A,6.43781,6.60613,6.74111,6.55226,6.53099,6.55753,6.51803,6.53097
LPAR4,3.1241,3.33215,3.23453,3.04869,2.93154,3.23886,3.04465,3.09167
MED20,5.40303,5.76181,5.67573,5.50018,5.9011,5.92057,5.92057,5.67914
206962_x_at,4.30681,4.2169,4.3901,4.27999,4.20442,4.21601,4.10129,4.18334
NAT8B,4.374,4.37344,4.46726,4.17075,4.42396,4.61296,4.25333,4.3102
NAT8B,3.49214,3.49599,3.78078,3.47072,3.41445,3.52569,3.37991,3.56605
KLF12,3.17324,3.09846,3.10314,3.02993,2.95857,3.06417,2.99512,2.92706
KLF12,5.24646,5.26927,5.5409,5.10373,5.16983,5.43705,5.26629,5.24532
CCNT1,7.365,7.30642,7.32968,7.39023,7.60546,7.9807,7.9456,7.49758
NFRKB,5.91213,5.74975,5.96483,5.94918,5.986,5.99158,5.79344,5.88856
LOC100653049,3.7001,3.6655,3.88523,3.64053,3.69697,3.7384,3.6953,3.74163
CNTN2,5.56008,5.37882,5.71566,5.2313,5.45454,5.46666,5.28035,5.49576
GPR161,4.41094,4.29391,4.50608,4.11086,4.36925,4.56457,4.4572,4.36925
GPR161,5.33637,5.39007,5.08413,5.0745,5.25681,5.52748,5.24406,5.26359
PPFIA2,4.52021,4.4829,5.01925,4.494,4.59119,4.69626,4.56248,4.46322
CXCR6,4.20622,4.02415,4.22662,3.86512,3.81246,4.10267,3.92163,3.81166
LTA,5.18193,5.3636,5.31111,5.00953,4.84654,5.19804,5.13145,5.23003
HSPH1,10.7917,11.0397,11.0153,11.1664,10.6532,10.7138,10.9562,10.9213
PTH,3.09755,2.84418,3.05652,3.05899,2.93762,2.83561,3.01425,2.93295
CCR2,3.77621,3.56753,3.90483,3.58196,3.44613,3.6311,3.62095,3.53633
C8B,4.77856,4.42071,4.64411,4.40884,4.27558,4.43721,4.36061,4.72735
FLT3LG,5.11422,5.092,5.17163,5.16876,5.08421,5.4771,5.12755,5.13882
SCN4A,4.05982,4.06476,4.10082,3.86756,3.94024,4.2336,3.89572,4.19391
CRYBA1,3.45156,3.46529,3.52869,3.37396,3.80102,3.77722,3.40207,3.60764
CCR6,2.93463,3.23502,3.50791,3.09483,3.28717,3.33745,3.30548,3.15844
RIT2,3.2699,3.15276,3.10329,3.19304,3.17154,3.1818,3.19143,3.18362
HSD17B3,3.88147,3.68399,4.17026,3.87338,3.91178,3.92208,3.86162,3.99155
FGF18,5.95874,5.39472,5.74838,5.41143,5.39472,5.91244,5.46997,5.75823
FGF18,4.82353,4.87196,5.33255,4.9505,4.98789,4.95886,4.82187,5.00388
CCL25,4.29978,4.31726,4.72841,4.37697,4.13101,4.34273,4.38268,4.30123
SCAF11,9.19044,9.2528,9.07407,9.27266,9.31011,9.09018,9.20784,9.11598
TNR,3.83459,3.55219,3.86579,3.56134,3.67947,4.08214,3.68952,3.61444
CCR5,4.21012,4.32345,4.84831,3.88055,4.10105,4.66162,4.21868,4.55782
ATP5S,8.50144,8.54765,8.46042,8.48915,8.5564,8.46911,8.31446,8.48115
ATP5S,6.18444,6.10959,6.01338,6.33722,5.91574,5.72212,5.99528,5.91178
CST4,4.61598,4.92452,4.72787,4.61715,4.52296,4.81074,4.79274,4.63164
SCARF1,3.00414,2.84531,3.01492,2.85809,2.94884,3.03613,2.9583,2.90224
CACNB1,4.61598,4.33892,4.71023,4.17335,4.33736,4.69223,4.15577,4.29785
HS6ST1,6.76974,6.68633,6.88385,6.59524,6.49324,6.56347,6.51763,6.57956
PRB3,6.3549,6.28013,6.61184,5.98412,6.30898,6.28527,6.21152,6.20329
IL12RB2,3.57605,3.40819,3.60013,3.20324,3.34842,3.53019,3.5355,3.53354
PPP3CC,5.87544,5.81607,5.73602,5.82296,5.98347,6.0781,6.14009,5.8938
TSC22D3,7.03956,6.86076,7.02623,7.02945,7.22847,7.29093,7.56828,7.21502
PLAGL1,3.46262,3.98338,3.41272,3.92609,3.23374,3.03137,3.24551,3.32765
GUCA2A,5.62306,5.4997,5.94212,5.39014,5.43925,5.87659,5.63877,5.63226
BCL2,5.81033,6.02998,5.86549,5.71721,6.03866,6.38102,5.74649,6.04979
BCL2,5.56074,5.78558,5.69846,5.51962,5.39008,5.79102,5.46485,5.57884
CCDC106,6.37242,6.53242,6.31441,6.24458,6.22949,6.05804,6.22577,6.17031
NR1I3,4.02932,4.07811,4.36106,3.89099,3.81184,4.11952,3.96541,4.04124
CXCR2,3.43549,3.51869,3.31586,3.15566,3.04148,3.14403,3.43475,3.19797
PHOX2B,3.66131,3.74647,3.85822,3.75092,3.73537,3.64142,3.63916,3.55644
GABRB1,3.09711,3.39181,3.31592,3.35216,3.27325,3.13094,3.1317,3.14307
PTK7,5.69794,5.64529,6.02523,5.51205,5.56008,5.82605,5.50368,5.6067
MMP16,5.62763,5.66149,5.33099,5.9773,5.29165,5.10256,4.7038,5.04588
MMP16,5.81253,5.74961,5.4444,5.79755,5.37095,5.73449,5.55927,5.73449
GABRA2,3.19529,3.2189,3.17997,3.23578,3.35016,3.1206,3.1586,3.42679
ALDH1A2,4.6958,4.92276,4.69694,4.51457,4.66618,5.33027,4.6592,4.85882
LOC101928635,4.18775,3.95726,4.41003,3.84458,4.09252,4.044,3.87092,3.89254
RAB27B,5.2647,5.52967,4.86831,5.04812,5.05953,5.04361,5.08171,5.12634
RAB27B,5.06427,5.05219,4.60268,4.90209,4.92146,4.56696,4.86763,4.68712
AKAP4,4.19731,4.21451,4.30472,4.05555,4.11136,4.3271,4.25379,4.2148
HSF2BP,4.82255,5.00393,4.67981,4.81674,4.82255,4.79965,4.45768,4.63943
ZPBP,3.60473,3.62033,3.66291,3.65192,3.49397,3.72696,3.71989,3.61865
LDHC,5.30459,5.25223,5.14129,5.26261,5.5806,5.21688,5.17878,5.42327
KRT10,9.87302,9.82829,9.94537,9.8127,10.1178,10.3943,10.6562,10.3798
CHRND,4.34836,4.26404,4.52306,4.25756,4.10165,4.57904,4.36123,4.37037
GJC2,5.9242,5.82111,6.26079,5.83805,5.91255,6.04368,5.8952,6.02113
ATP2B3,5.05985,4.9535,5.24432,4.95698,4.95813,4.67699,4.95698,4.90448
HGFAC,4.2688,4.16797,4.36399,4.17784,3.98621,4.47606,4.0222,3.96336
MYCNOS,4.4318,4.42071,4.96503,4.26191,4.43146,4.71447,4.38469,4.34459
KITLG,6.75286,7.15009,6.49341,6.8583,6.62975,6.67497,6.66811,6.46996
CSRP2,6.13259,5.93492,5.44308,5.91008,5.54367,5.47565,5.44207,5.5941
NKX3-2,5.64415,5.55367,5.52848,5.25641,5.48603,5.65947,5.52559,5.56191
CRISP1,3.74307,3.76722,3.90764,3.81897,3.68669,3.87278,4.00352,3.90764
